Algoritma,Hesaplama_Suresi_ms,Ziyaret_Edilen_Dugum,Yol_Uzunlugu_m
A*,23.0395,1759,10.7581
A*,53.9320,4481,12.0167
A*,55.8697,4578,12.1054
A*,52.3632,4198,12.1054
A*,52.6333,4198,12.1054
A*,37.9058,3254,11.9054
A*,37.9317,3229,11.7640
A*,41.3798,3214,11.6640
A*,47.3632,3226,11.5640
A*,41.9388,3215,11.4640
A*,41.9153,3198,11.3640
A*,41.4330,3197,11.2640
A*,36.0910,3166,11.0640
A*,41.0169,3172,10.9640
A*,40.4657,3156,10.8640
A*,36.6651,2930,10.7640
A*,35.7508,2895,10.6640
A*,29.2423,2474,10.5640
A*,28.7835,2343,10.3640
A*,28.8827,2331,10.3640
A*,27.4221,2296,10.1640
A*,27.0182,2268,10.0640
A*,25.9504,2249,9.9640
A*,24.4856,2100,9.6468
A*,24.6515,2097,9.6468
A*,25.7464,2066,9.5054
A*,24.3590,2047,9.3640
A*,24.0376,1991,9.2640
A*,23.9970,2001,9.2225
A*,25.1786,1969,9.0811
A*,21.8912,1897,8.9397
A*,22.9836,1897,8.9397
A*,22.8370,1840,8.7983
A*,23.0240,1783,8.6569
A*,20.7407,1721,8.5154
A*,20.8913,1721,8.5154
A*,20.4995,1674,8.3740
A*,20.0225,1603,8.2326
A*,18.8917,1544,8.1326
A*,20.4702,1492,8.0912
A*,16.9188,1393,7.9497
A*,16.0460,1318,7.8083
A*,15.2569,1294,7.8083
A*,18.2452,1466,7.8083
A*,22.5498,1908,8.0912
A*,26.2305,1995,8.0912
A*,43.2664,3658,9.7941
A*,48.8031,3716,9.8527
A*,47.3742,3764,9.8527
A*,43.5387,3770,9.9012
A*,42.9157,3669,9.8598
A*,44.4451,3604,9.9598
A*,41.4534,3563,9.9184
A*,42.4448,3447,9.7770
A*,38.6973,3335,9.6355
A*,39.2797,3261,9.5355
A*,38.3767,3161,9.4527
A*,39.2910,3093,9.4113
A*,38.1653,2995,9.3284
A*,35.3809,2933,9.2870
A*,35.5750,2806,9.1456
A*,38.2706,2734,9.1042
A*,32.8936,2644,9.0213
A*,31.3081,2560,8.9799
A*,30.2587,2489,8.9799
A*,34.6866,2838,10.0184
A*,33.8043,2836,10.0184
A*,33.1713,2840,9.8770
A*,34.3023,2840,9.8770
A*,32.0559,2760,9.6770
A*,35.2212,2759,9.6770
